employeeId,year,month,minutesUsed,dataUsed 
2343243,1987,1,9000,5867 
2343243,1987,2,56.8,5867 
2343243,1987,3,9000,5867 
2343243,1987,4,67,5867 
2343243,1987,5,699,536 
2343243,1987,6,800,5867 
2343243,1987,7,68,58667 
2343243,1987,8,67,5467 
2343243,1987,9,66,5567 
2343243,1987,10,55,5867 
2343243,1987,11,9000,5867 
2343243,1987,12,56.8,587 
2383243,1989,7,9000,5867 
2383243,2001,3,67,5867 
2303243,2001,7,699,5366 
2303243,2001,7,800,5867 
2303243,2001,3,68,58667 
2303243,2001,3,67,5867 
2303243,2001,8,66,5856 
2303243,1987,5,55,5867 
